state,mindate,maxdate,Data.50.,Data.2.5.,Data.97.5.,Source
SC,2020-10-07,2020-10-21,8,5.78,10.49,CDC (2021)
TN,2020-10-07,2020-10-15,9.9,7.49,12.26,CDC (2021)
TX,2020-10-05,2020-10-19,10.4,8.15,12.98,CDC (2021)
UT,2020-10-05,2020-10-21,9.1,6.3,11.99,CDC (2021)
VA,2020-10-09,2020-10-21,4.1,2.41,6.2,CDC (2021)
VT,2020-10-09,2020-10-22,0.4,0,1.22,CDC (2021)
WA,2020-10-07,2020-10-21,2,0.91,3.21,CDC (2021)
WI,2020-10-07,2020-10-22,5,3.41,6.98,CDC (2021)
WV,2020-10-07,2020-10-22,2.2,1.29,3.3,CDC (2021)
WY,2020-10-08,2020-10-21,2.6,0.46,5.78,CDC (2021)
AK,2020-10-30,2020-11-13,6.3,3.68,10.57,CDC (2021)
AL,2020-10-26,2020-11-09,9.2,7.57,10.99,CDC (2021)
AR,2020-10-26,2020-11-06,6.5,5.15,7.98,CDC (2021)
AZ,2020-10-26,2020-11-10,9.6,8.08,11.12,CDC (2021)
CA,2020-10-26,2020-11-12,6.6,5.09,8.12,CDC (2021)
CO,2020-10-30,2020-11-13,5,3.35,6.8,CDC (2021)
CT,2020-11-02,2020-11-14,3.5,2.09,4.99,CDC (2021)
DC,2020-10-27,2020-11-11,8.8,6.97,10.67,CDC (2021)
DE,2020-10-26,2020-11-09,10.4,7.72,13.62,CDC (2021)
FL,2020-10-27,2020-11-04,7.6,6.02,9.11,CDC (2021)
GA,2020-10-27,2020-11-13,12.4,10.01,14.88,CDC (2021)
HI,2020-10-29,2020-11-15,2.9,1.66,4.68,CDC (2021)
IA,2020-10-28,2020-11-13,11.9,9.37,14.58,CDC (2021)
ID,2020-10-30,2020-11-13,6.3,4.19,8.96,CDC (2021)
IL,2020-10-26,2020-11-07,12.9,10.87,14.94,CDC (2021)
IN,2020-10-29,2020-11-11,6.3,4.25,8.59,CDC (2021)
KS,2020-11-01,2020-11-15,5.5,4.17,7.06,CDC (2021)
KY,2020-10-26,2020-11-10,7.5,5.88,9.43,CDC (2021)
LA,2020-10-28,2020-11-14,9.7,7.49,11.78,CDC (2021)
MA,2020-11-02,2020-11-11,3.8,2.48,5.2,CDC (2021)
MD,2020-10-29,2020-11-11,7.2,5.3,9.36,CDC (2021)
ME,2020-11-02,2020-11-13,1,0.33,1.79,CDC (2021)
MI,2020-10-26,2020-11-13,8.6,6.43,11.05,CDC (2021)
MN,2020-10-29,2020-11-13,8.4,6.79,10.14,CDC (2021)
MO,2020-11-02,2020-11-10,6.1,4.32,7.97,CDC (2021)
MS,2020-10-25,2020-11-09,11,9.31,13.11,CDC (2021)
MT,2020-10-30,2020-11-13,7.7,4.98,11,CDC (2021)
NC,2020-10-27,2020-11-10,7.5,5.89,8.92,CDC (2021)
NE,2020-10-30,2020-11-14,11.9,9.58,14.2,CDC (2021)
NH,2020-11-02,2020-11-07,1.1,0.38,1.97,CDC (2021)
NJ,2020-10-29,2020-11-11,11.9,10.04,13.87,CDC (2021)
NM,2020-10-30,2020-11-15,7.5,5.68,9.39,CDC (2021)
NV,2020-10-25,2020-11-09,8.5,6.56,10.51,CDC (2021)
NY,2020-10-30,2020-11-15,13,10.7,15.36,CDC (2021)
OH,2020-10-25,2020-11-10,7.3,5.84,8.79,CDC (2021)
OK,2020-10-31,2020-11-13,6,4.55,7.7,CDC (2021)
OR,2020-10-30,2020-11-13,2.3,1.18,3.58,CDC (2021)
PA,2020-10-26,2020-11-09,6.3,4.95,7.69,CDC (2021)
RI,2020-11-02,2020-11-13,3.4,2.08,4.92,CDC (2021)
SC,2020-10-27,2020-11-11,8.4,6.94,9.99,CDC (2021)
SD,2020-10-27,2020-11-10,8.8,3.94,15.36,CDC (2021)
TN,2020-10-26,2020-11-10,10.7,8.75,12.57,CDC (2021)
TX,2020-10-29,2020-11-11,15.9,11.55,23.68,CDC (2021)
UT,2020-10-25,2020-11-09,6.9,4.22,10.79,CDC (2021)
VA,2020-10-29,2020-11-11,3.6,2.07,5.6,CDC (2021)
VT,2020-11-02,2020-11-13,0.4,0.04,0.98,CDC (2021)
WA,2020-11-01,2020-11-13,3.4,2.45,4.44,CDC (2021)
WI,2020-10-26,2020-11-10,15.3,12.24,18.9,CDC (2021)
WV,2020-10-29,2020-11-15,5.5,3.03,9.35,CDC (2021)
WY,2020-10-26,2020-11-10,4.8,2.36,7.62,CDC (2021)
